Summary,Description,Priority,Issue Type,Impact,Urgency,Component
Server crashed due to memory leak,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The server crashed due to a memory leak.'}]}]}",Medium,Task,Unknown,Unknown,None
Server crashed due to memory leak,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The server crashed due to a memory leak.'}]}]}",Medium,Task,Unknown,Unknown,None
API is not working,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'No further details provided.'}]}]}",Medium,Task,Unknown,Unknown,None
API is not working,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'N/A'}]}]}",Medium,Task,Unknown,Unknown,None
Server crashed due to memory leak,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The server crashed due to a memory leak.'}]}]}",Medium,Task,Unknown,Unknown,None
How to Reset Your Jira Password?,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Step-by-step guide on resetting your Jira password.'}, {'type': 'hardBreak'}, {'type': 'text', 'text': 'Content:', 'marks': [{'type': 'strong'}]}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Go to the Jira login page.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Click on '}, {'type': 'text', 'text': '""Forgot password?""', 'marks': [{'type': 'strong'}]}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Enter your registered email.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Follow the password reset instructions sent to your email.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'If you don’t receive the email, check your spam folder or contact support.'}]}]}]}]}",Medium,Task,Unknown,Unknown,Jira
testing,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'tesing '}]}]}",Medium,IT Help,Unknown,Unknown,None
Do someother things ,,Medium,Sub-task,Unknown,Unknown,None
Help! This is a high priority request,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'N/A'}]}]}",Medium,Task,Unknown,Unknown,None
Slow search function with large result sets.,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The search function is slow when there are more than 100 results, and it sometimes times out. We need to optimize the database query and add pagination to improve performance.'}]}]}",Medium,Task,Unknown,Unknown,None
Slow search function with large result sets.,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The search function is slow when there are more than 100 results, and it sometimes times out. We need to optimize the database query and add pagination to improve performance.'}]}]}",Medium,Task,Unknown,Unknown,None
dashboard is not loading,"{'type': 'doc', 'version': 1, 'content': []}",Medium,Task,Unknown,Unknown,None
The dashboard is showing incorrect data.,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'N/A'}]}]}",Medium,Task,Unknown,Unknown,None
The dashboard is showing incorrect data.,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'N/A'}]}]}",Medium,Task,Unknown,Unknown,None
Login page load time is excessive.,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The login page takes more than 10 minutes to load.'}]}]}",Medium,Task,Unknown,Unknown,None
Login page load time is excessive.,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The login page takes more than 10 minutes to load.'}]}]}",Medium,Task,Unknown,Unknown,None
Login page loading slowly,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The login page takes more than 10 minutes to load.'}]}]}",Medium,Task,Unknown,Unknown,None
The server crashed due to a memory leak.,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'The server crashed due to a memory leak.'}]}]}",Medium,Task,Unknown,Unknown,None
API Test Issue with ADF,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'This is a sample issue created using Jira API with ADF description.'}]}]}",Medium,IT Help,Unknown,Unknown,None
API Test Issue with ADF,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'This is a sample issue created using Jira API with ADF description.'}]}]}",Medium,Task,Unknown,Unknown,None
API Test Issue with ADF,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'This is a sample issue created using Jira API with ADF description.'}]}]}",Medium,Task,Unknown,Unknown,None
This one is newly created issue with some purpouse,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'This is newly create for demo purpose'}]}]}",Medium,IT Help,Unknown,Unknown,None
Track & improve your team's performance,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': ""Stay on top of your team's performance by seeing the metrics you care about in ""}, {'type': 'text', 'text': 'Reports', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '. Track performance over time to spot problems early and celebrate wins when they happen.'}]}, {'type': 'heading', 'attrs': {'level': 3}, 'content': [{'type': 'text', 'text': 'Try it out'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Visit '}, {'type': 'text', 'text': 'Reports', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' to get started (you may need to click '}, {'type': 'text', 'text': 'Back to project', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' to get out of your queues menu).'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Try our existing reports, including:'}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Created vs resolved'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Team workload'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Satisfaction (CSAT)'}]}]}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': '..or build a '}, {'type': 'text', 'text': 'custom report', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' to track the metrics you care about.'}]}]}",Medium,IT Help,Unknown,Unknown,None
Help! This is a high priority request,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Track the priority of requests to spot problems quickly and set tighter '}, {'type': 'text', 'text': 'Service Level Agreement (SLA)', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' goals. Customers can set their own priority when raising a request, or you can hide it from customers and let your team decide.'}]}, {'type': 'heading', 'attrs': {'level': 3}, 'content': [{'type': 'text', 'text': 'Try it out'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Assign yourself and add a comment to stop the '}, {'type': 'text', 'text': 'Time to First Response', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' SLA from counting down. Resolve the request to stop all SLAs completely.'}]}]}",Highest,IT Help,Unknown,Unknown,None
Help! This is a high priority request,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Track the priority of requests to spot problems quickly and set tighter '}, {'type': 'text', 'text': 'Service Level Agreement (SLA)', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' goals. Customers can set their own priority when raising a request, or you can hide it from customers and let your team decide.'}]}, {'type': 'heading', 'attrs': {'level': 3}, 'content': [{'type': 'text', 'text': 'Try it out'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Assign yourself and add a comment to stop the '}, {'type': 'text', 'text': 'Time to First Response', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' SLA from counting down. Resolve the request to stop all SLAs completely.'}]}]}",Highest,IT Help,Unknown,Unknown,None
Triaging requests into queues,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': ""Organize your customer's requests into queues to help your team stay focused while you keep track of what needs to be done. Build your own ""}, {'type': 'text', 'text': 'queues', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': "" to split requests by agents, request types, office locations, status or your team's custom fields.""}]}, {'type': 'heading', 'attrs': {'level': 3}, 'content': [{'type': 'text', 'text': 'Try it out'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Build a queue to show your recently resolved requests. Click '}, {'type': 'text', 'text': 'New queue', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' and update the status filter in '}, {'type': 'text', 'text': 'Issues to show', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' to only show requests set to '}, {'type': 'text', 'text': 'Resolved', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '.'}]}]}",Medium,IT Help,Unknown,Unknown,None
demo ,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'demo'}]}]}",Medium,IT Help,Unknown,Unknown,None
Automatically update linked requests,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': ""Automation rules let you automate repetitive tasks in your service project. For example, when a Jira issue gets transitioned, an automation rule updates its linked requests with a comment to show the assigned agent that it's changed.""}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Build your own automation rules to:'}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Resolve linked requests when a Jira issue closes.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Automatically update customers when a linked Jira issue transitions.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'or add what whatever you like! Automation is flexible enough to keep you in control. '}]}]}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Visit '}, {'type': 'text', 'text': 'our automation documentation to learn more', 'marks': [{'type': 'link', 'attrs': {'href': 'https://support.atlassian.com/jira-service-desk-cloud/docs/set-up-rules-to-automate-repetitive-tasks/'}}]}, {'type': 'text', 'text': '.'}]}]}",Medium,IT Help,Unknown,Unknown,None
server is creating a issue,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Urgent server failure'}]}]}",High,IT Help,Unknown,Unknown,None
I need help connecting my laptop to the level 3 printer,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': ""I have been trying to print a document since 8am this morning but my laptop won't connect with the printer. I've restarted my laptop but it's still not working. If anyone has time to look soon, I'll be at my desk for most of the day.""}]}]}",High,Service Request,Unknown,Unknown,None
Collecting custom request details,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Define and organize incoming requests using '}, {'type': 'text', 'text': 'request types', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '. Capture and track relevant details upfront by customizing the '}, {'type': 'text', 'text': 'request types', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' you want to show up on the Help Center. You can also add '}, {'type': 'text', 'text': 'internal fields', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': "" to track details that you don't want your customers to see.""}]}, {'type': 'heading', 'attrs': {'level': 3}, 'content': [{'type': 'text', 'text': 'Try it out'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': ""We've given you some request types to try. Visit ""}, {'type': 'text', 'text': 'Channels', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' (you may need to click '}, {'type': 'text', 'text': 'Back to project', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': "" to get out of your queues menu) to raise a request via your service project's Help Center and see them in action.""}]}]}",High,Service Request with Approvals,Unknown,Unknown,None
Agents & customers,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Agents', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' are the members of your team that answer and resolve requests from your '}, {'type': 'text', 'text': 'Customers', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': '. In Jira Service Management, you only pay for agents and not the customers who raise requests. In other words, you can support as many customers as you need without paying any extra.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Ready to invite your team? Look for '}, {'type': 'text', 'text': 'Invite team', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': "" on your project's sidebar to the left (you may need to click ""}, {'type': 'text', 'text': 'Back to project', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' to get out of your queues menu) to invite your team as agents.'}]}]}",Medium,IT Help,Unknown,Unknown,None
Capturing customer email requests,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': ""The easiest way for your customer's to request help is by sending an email request to your service project. When emails get sent to your project, they land in your queue as a request (just like this one).""}]}, {'type': 'heading', 'attrs': {'level': 3}, 'content': [{'type': 'text', 'text': 'Try it out'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Email a request to '}, {'type': 'text', 'text': ""Demo service project's"", 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': ' support email address ( '}, {'type': 'text', 'text': 'demo@surajsuri279.atlassian.net', 'marks': [{'type': 'link', 'attrs': {'href': 'mailto:demo@surajsuri279.atlassian.net'}}]}, {'type': 'text', 'text': ' ) to see how it looks for your customers and agents.'}]}]}",Medium,Service Request,Unknown,Unknown,None
What is a request?,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Requests are like emails from your customers asking for help. Like email, you can respond to the reporter and add attachments. Unlike email, you can set all kinds of useful information, such as labels, priority and a status showing where the request is up to.'}]}, {'type': 'heading', 'attrs': {'level': 3}, 'content': [{'type': 'text', 'text': 'Try it out'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': ""When you've finished exploring this request, ""}, {'type': 'text', 'text': 'update the status', 'marks': [{'type': 'strong'}]}, {'type': 'text', 'text': "" to resolve it and let the reporter know it's done.""}]}]}",Medium,Service Request,Unknown,Unknown,None
